1.
2	{[STOP][文件无法打开]"^0"是应用程序不支持的文件格式。[OK]}

8	{[NOTE][MIDI有问题]MIDI端口已被其他应用程序使用。[OK]}

14	{[STOP][补丁损坏]所选文件已损坏或格式不正确。[OK]}

15	{[STOP][硬件异常]^0已从硬件异常中恢复。您可以继续操作，但建议保存打开的歌曲并重新启动应用程序。[OK]}
16	{[STOP]发生了意外错误。[OK]}

18	{[STOP][图像尺寸不正确]启动画面可使用的图像尺寸为^0 x ^1。[OK]}
19	{[STOP][无法加载文件]启动画面使用的图像已损坏或格式不正确。请确认是否为JPEG格式保存的文件。[OK]}
23	{[STOP][无法打开歌曲]无法打开歌曲。\r未找到歌曲引用的文件。[OK]}

24	{[STOP][新格式]所选文件来自较新版本的Reason。[OK]}

26	{[STOP][REX导入错误]此REX文件包含的切片过多。NN-XT/NN19最多可导入92个切片。[OK]}
27	{[NOTE][采样器加载上限]NN19最多可处理128个样本。[OK]}
30	{[STOP][REX错误]REX文件中未包含有效的切片。[OK]}
35	{[STOP][REX错误]文件已损坏或格式不正确。[OK]}
36	{[STOP][REX错误]此REX2文件是由比REX库支持的版本更新的ReCycle创建的。[OK]}
37	{[STOP][REX错误]此ReCycle文件未指定小节数和拍数，因此无法使用。[OK]}
38	{[STOP][分配重复]"^0"已被分配。是否要更改此功能的分配？[取消][OK]}
39	{[STOP][声音驱动程序有问题]无法使用"^0 ^1"的声音驱动程序。\r请打开偏好设置窗口并选择其他声音驱动程序。[OK]}

40	{[STOP][文件未找到]未找到选定的"^0"。[OK]}

46	{[STOP][文件未找到]无法保存文件。未找到引用的文件"^0"。[OK]}
47	{[STOP][损坏文件]无法保存文档。文件“^0”因格式问题无法包含。[OK]}

54	{[STOP]"^0"是用新版本保存的歌曲，因此无法打开。[OK]}
55	{[STOP]["^0"是用新版本保存的歌曲，因此无法打开。]此歌曲是用 ^1 ^2 创建的。[OK]}

56	{[STOP][无法打开歌曲]"^0"是包含过多样本的歌曲文件，因此无法打开。有关此问题的详细信息和改进措施，请访问www.reasonstudios.com的支持部分。[OK]}

92	{[STOP]此版本的^0已过期。\r\r请从Reason Studios获取更新。[退出]}
93	{[WARN]无法保存文档。[OK]}
94	{[WARN][无法保存偏好设置]由于某些原因，无法保存偏好设置。[OK]}
96	{[NOTE][中止音频导出]是否保留部分创建的音频文件？[保存][删除]}
97	{[STOP][磁盘已满]磁盘空间不足，无法导出音频。[OK]}

99	{[WARN]MIDI输入数据溢出！计算机无法处理大量输入的MIDI数据。[OK]}

100	{[WARN][这是发布歌曲]此数据已被制作者保存为发布歌曲。无法重新保存、导出或复制。[OK]}

101	{[WARN][找不到插件]找不到此插件。因此无法保存和复制补丁。[OK]}

119	{[WARN][REX文件与保存时不一致]REX文件"^0"自上次保存后已更改。\r是否继续加载？[否][是]}
121	{[STOP][不允许导出音频]发布歌曲在更改后无法导出音频。\r关闭并重新打开歌曲后，即可导出音频。[OK]}

122	{[STOP][无法创建音频]此操作将创建过大的音频文件。请导出/弹奏较短的片段。[OK]}

128	{[STOP][无法打开网页]无法打开网页\r“^0”。[OK]}

131	{[STOP][未找到^1所需的文件]未找到名为"^0"的资源文件。请重新安装应用程序。[退出]}

135	{[STOP][不支持格式]此SoundFont库引用了ROM样本，因此^0不支持。[OK]}

137-Win	{[NOTE][删除设备]是否删除设备？\r按住Ctrl键并按Del键可无警告删除。[取消][删除]}
137-Mac	{[NOTE][删除设备]是否删除设备？\r按住Command键并按Delete键可无警告删除。[取消][删除]}
138-Win	{[NOTE][删除设备]是否删除这些设备？\r按住Ctrl键并按Del键可无警告删除。[取消][删除]}
